order_id,order_date,customer_id,sku,product,category,quantity,unit_price,discount_percent,country,channel
ORD-105394,16/08/2025,C00686,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,UK,marketplace
ORD-101987,2025-04-12 09:14,C00033,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",20,United Arab Emirates,Website
ORD-100001,2026-08-28 14:14,C00016,SKU-1010,65W GaN charger,Power,2,"Rs 3,900",0,pakistan,website
ORD-104436,2025-05-21 14:14,C00303,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",5,Saudi Arabia,Website
ORD-103987,2025-11-04 20:14,C00294,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Arab Emirates,marketplace
ORD-101939,2026-06-16 15:14,C00172,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",0,pakistan,retail
ORD-104828,2025-08-05 19:14,C00782,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,0,United Arab Emirates,Website
ORD-102536,2025-11-02 07:14,C00732,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,pakistan,website
ORD-101957,2025-10-25 14:14,C00008,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,United Arab Emirates,website
ORD-103628,2026-01-18 08:14,C00772,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,UAE,retail
ORD-105375,2025-10-15 17:14,C00325,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,United Arab Emirates,Website
ORD-105810,2025-10-15 12:14,C00047,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",5,pakistan,marketplace
ORD-105649,2025-09-26 17:14,C00026,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,Pakistan,retail
ORD-103460,2026-05-24 11:14,C00642,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,UK,website
ORD-101017,2025-09-04 20:14,C00077,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",0,pakistan,Website
ORD-104341,2026-01-28 15:14,C00616,SKU-1006,Laptop stand,Accessories,1,"Rs 4,200",0,United Kingdom,marketplace
ORD-101519,2025-10-18 08:14,C00038,SKU-1005,24 inch monitor,Displays,2,,10,United Kingdom,website
ORD-102161,2026-04-25 08:14,C00038,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",0,United Arab Emirates,Website
ORD-100690,2026-02-24 08:14,C00247,SKU-1007,Noise cancelling headset,Audio,2,"Rs 6,900",10,UAE,website
ORD-100406,2026-07-09 20:14,C00136,SKU-1008,1TB portable SSD,Storage,3,"Rs 13,500",0,UK,marketplace
ORD-102245,2025-05-22 10:14,,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,Pakistan,marketplace
ORD-103684,2026-01-10 12:14,C00594,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",5,Saudi Arabia,Website
ORD-103339,2026-03-17 14:14,C00004,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",0,Saudi Arabia,Website
ORD-103905,2025-06-04 18:14,C00021,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,United Arab Emirates,retail
ORD-103852,2025-03-24 13:14,,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",5,Saudi Arabia,retail
ORD-100318,2026-08-25 15:14,C00812,SKU-1005,24 inch monitor,Displays,2,"Rs 32,900",0,UK,marketplace
ORD-103013,2025-03-26 12:14,C00879,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,pakistan,retail
ORD-104977,2025-05-06 09:14,C00570,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,0,United Arab Emirates,retail
ORD-101712,2026-08-01 13:14,C00014,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,pakistan,retail
ORD-103883,2025-07-15 12:14,C00011,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,Pakistan,website
ORD-101046,2025-11-24 15:14,C00686,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,PK,website
ORD-102387,16/06/2026,C00318,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",20,Pakistan,website
ORD-100973,2025-11-23 17:14,C00329,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,Saudi Arabia,Website
ORD-103737,2026-08-26 15:14,C00653,SKU-1004,HDMI cable 1.5m,Cables,2,"Rs 1,300",0,UK,Website
ORD-103740,2026-01-18 08:14,C00057,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,United Kingdom,retail
ORD-100325,2026-06-21 19:14,C00790,SKU-1005,24 inch monitor,Displays,5,"Rs 32,900",0,UAE,retail
ORD-104004,2026-03-01 20:14,,SKU-1002,Wireless mouse,Peripherals,3,"Rs 2,600",0,Saudi Arabia,Website
ORD-103243,2025-04-29 12:14,C00047,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,Saudi Arabia,marketplace
ORD-102655,2026-05-29 11:14,C00017,SKU-1006,Laptop stand,Accessories,1,"Rs 4,200",5,United Arab Emirates,marketplace
ORD-104964,2025-08-25 17:14,C00532,SKU-1008,1TB portable SSD,Storage,2,"Rs 13,500",0,United Kingdom,website
ORD-101188,2025-07-01 19:14,C00058,SKU-1008,1TB portable SSD,Storage,-2,"Rs 13,500",10,Pakistan,retail
ORD-101647,2025-08-19 16:14,C00639,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",0,Pakistan,marketplace
ORD-101325,2025-04-15 14:14,C00574,SKU-1007,Noise cancelling headset,Audio,2,"Rs 6,900",0,United Kingdom,website
ORD-101129,2025-11-17 07:14,C00344,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,PK,retail
ORD-103123,2026-08-10 14:14,C00195,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,UAE,marketplace
ORD-102827,2025-06-20 09:14,C00022,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,UK,Website
ORD-105189,2026-03-24 18:14,C00776,SKU-1007,Noise cancelling headset,Audio,3,"Rs 6,900",0,Pakistan,retail
ORD-102992,2026-06-13 09:14,C00016,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,UAE,Website
ORD-104267,2025-06-24 08:14,C00887,SKU-1004,HDMI cable 1.5m,Cables,3,"Rs 1,300",0,UK,retail
ORD-102482,2025-11-06 17:14,C00039,SKU-1005,24 inch monitor,Displays,2,"Rs 32,900",5,UAE,website
ORD-103477,2025-12-31 16:14,C00649,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,United Arab Emirates,Website
ORD-102100,2025-05-28 18:14,C00148,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",5,United Kingdom,Website
ORD-105663,2026-02-11 14:14,C00866,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,0,United Kingdom,Website
ORD-104647,2025-05-07 09:14,C00027,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,Pakistan,marketplace
ORD-104570,18/07/2026,C00293,SKU-1004,HDMI cable 1.5m,Cables,2,"Rs 1,300",0,Saudi Arabia,Website
ORD-105276,2025-05-31 09:14,C00513,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,Saudi Arabia,Website
ORD-100627,2026-07-19 07:14,C00790,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",0,pakistan,website
ORD-102408,2026-03-03 11:14,C00057,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Arab Emirates,website
ORD-104042,2026-07-16 14:14,C00052,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,United Kingdom,retail
ORD-102838,2025-05-10 20:14,C00653,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,0,UAE,website
ORD-100856,2025-05-04 15:14,C00276,SKU-1005,24 inch monitor,Displays,2,"Rs 32,900",0,pakistan,Website
ORD-105181,2026-07-20 19:14,C00746,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,UK,retail
ORD-102584,2025-09-29 19:14,C00139,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",5,UK,website
ORD-101282,16/12/2025,C00560,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",5,PK,marketplace
ORD-105791,2025-11-29 08:14,C00265,SKU-1008,1TB portable SSD,Storage,2,"Rs 13,500",5,Saudi Arabia,Website
ORD-101787,2026-07-27 07:14,C00023,SKU-1007,Noise cancelling headset,Audio,3,"Rs 6,900",0,Pakistan,website
ORD-101702,2025-05-25 20:14,C00025,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",0,PK,website
ORD-100365,2025-10-29 19:14,,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",0,United Arab Emirates,Website
ORD-103218,2025-11-06 15:14,C00537,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",0,United Arab Emirates,Website
ORD-103533,2025-12-10 09:14,C00123,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",10,Pakistan,retail
ORD-101169,2025-05-16 08:14,,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,pakistan,Website
ORD-102174,2026-04-21 12:14,C00556,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",10,UK,website
ORD-103073,2025-09-02 11:14,C00034,SKU-1001,Mechanical keyboard,Peripherals,2,"Rs 9,800",0,pakistan,retail
ORD-100458,2026-08-26 07:14,,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",5,UK,website
ORD-102309,2025-09-01 17:14,C00151,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",5,Pakistan,retail
ORD-101754,2026-01-19 17:14,C00017,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",10,United Kingdom,website
ORD-103164,2026-03-11 20:14,C00399,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,United Kingdom,website
ORD-102492,2026-08-27 14:14,,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,pakistan,retail
ORD-103445,2026-09-08 08:14,C00260,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,10,PK,marketplace
ORD-105449,2025-05-09 11:14,C00004,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,Pakistan,retail
ORD-103325,2025-05-29 13:14,C00268,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,UK,retail
ORD-104092,2026-01-05 09:14,C00866,SKU-1007,Noise cancelling headset,Audio,2,"Rs 6,900",10,United Arab Emirates,Website
ORD-101867,2025-03-28 10:14,C00042,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",5,Saudi Arabia,website
ORD-101223,2025-05-20 10:14,C00154,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,5,United Arab Emirates,marketplace
ORD-103998,2026-08-12 15:14,C00311,SKU-1010,65W GaN charger,Power,2,"Rs 3,900",0,Pakistan,marketplace
ORD-102764,2025-12-17 08:14,C00041,SKU-1008,1TB portable SSD,Storage,5,"Rs 13,500",0,UK,retail
ORD-100521,04/07/2026,C00251,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,pakistan,marketplace
ORD-102340,2026-07-13 14:14,C00774,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,PK,Website
ORD-101058,2026-05-06 13:14,C00829,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,0,Saudi Arabia,website
ORD-101480,2026-07-07 10:14,C00007,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",5,United Arab Emirates,marketplace
ORD-101605,2025-07-08 13:14,,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,pakistan,marketplace
ORD-102957,2026-03-13 11:14,C00599,SKU-1007,Noise cancelling headset,Audio,1,,0,Pakistan,website
ORD-102766,2025-03-23 13:14,C00006,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",5,United Arab Emirates,website
ORD-102086,2025-06-04 11:14,C00813,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,5,PK,Website
ORD-103094,2025-05-01 10:14,C00035,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",0,UAE,Website
ORD-103011,2026-05-25 20:14,C00028,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,UAE,Website
ORD-102832,2025-08-09 17:14,C00047,SKU-1010,65W GaN charger,Power,5,"Rs 3,900",0,pakistan,Website
ORD-100982,2026-05-18 16:14,C00049,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,UAE,marketplace
ORD-105372,2025-07-09 07:14,C00190,SKU-1001,Mechanical keyboard,Peripherals,3,"Rs 9,800",0,Saudi Arabia,retail
ORD-102592,2026-08-15 17:14,C00847,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,pakistan,website
ORD-100543,2025-06-20 17:14,C00870,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",10,Saudi Arabia,website
ORD-100886,2026-07-01 20:14,C00494,SKU-1001,Mechanical keyboard,Peripherals,2,"Rs 9,800",0,Pakistan,retail
ORD-103135,2026-06-25 07:14,C00331,SKU-1007,Noise cancelling headset,Audio,2,"Rs 6,900",0,PK,retail
ORD-100248,06/12/2025,,SKU-1008,1TB portable SSD,Storage,2,"Rs 13,500",0,Pakistan,retail
ORD-101618,2025-03-29 10:14,C00019,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",0,United Kingdom,Website
ORD-101942,2025-05-26 18:14,C00872,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,0,UK,retail
ORD-103876,2026-08-04 17:14,C00052,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,Pakistan,marketplace
ORD-102778,2025-04-13 07:14,C00045,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",10,PK,Website
ORD-104779,2025-03-24 20:14,C00026,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",5,UK,website
ORD-103650,2025-05-14 07:14,,SKU-1004,HDMI cable 1.5m,Cables,-2,"Rs 1,300",0,Pakistan,website
ORD-104124,2026-03-07 07:14,C00752,SKU-1005,24 inch monitor,Displays,2,"Rs 32,900",5,Pakistan,marketplace
ORD-104722,2025-10-08 20:14,C00133,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,UK,retail
ORD-105804,2026-09-05 09:14,C00100,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,United Arab Emirates,website
ORD-102988,2026-06-22 15:14,C00887,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",0,United Arab Emirates,marketplace
ORD-105308,2025-05-15 17:14,C00566,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,Pakistan,website
ORD-102507,2026-05-23 12:14,C00261,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",10,Saudi Arabia,retail
ORD-104916,2025-12-30 16:14,C00643,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",5,pakistan,retail
ORD-101482,2026-05-24 08:14,C00084,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Arab Emirates,marketplace
ORD-102550,2025-12-03 16:14,C00131,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",0,United Arab Emirates,marketplace
ORD-101997,2026-01-09 20:14,C00867,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",20,PK,marketplace
ORD-104306,2026-02-05 15:14,C00507,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,UK,marketplace
ORD-102984,2025-11-12 12:14,C00224,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",20,Pakistan,marketplace
ORD-103956,2026-04-13 15:14,C00785,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,5,PK,website
ORD-103375,2026-01-04 12:14,C00039,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",0,Pakistan,Website
ORD-105962,2025-07-18 09:14,C00002,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,pakistan,website
ORD-101805,2026-05-18 09:14,C00482,SKU-1006,Laptop stand,Accessories,1,"Rs 4,200",10,Saudi Arabia,website
ORD-100337,2026-05-12 10:14,C00014,SKU-1008,1TB portable SSD,Storage,3,"Rs 13,500",0,Saudi Arabia,Website
ORD-105788,2025-12-19 12:14,C00486,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,5,Saudi Arabia,Website
ORD-100970,2025-12-23 08:14,C00161,SKU-1004,HDMI cable 1.5m,Cables,2,"Rs 1,300",0,pakistan,marketplace
ORD-103526,05/07/2025,C00075,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,Pakistan,retail
ORD-104351,2025-07-25 19:14,C00177,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,United Arab Emirates,website
ORD-102910,07/09/2025,C00502,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,United Kingdom,Website
ORD-105897,2025-12-18 19:14,C00057,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",5,pakistan,marketplace
ORD-103837,2026-06-29 12:14,C00057,SKU-1008,1TB portable SSD,Storage,3,"Rs 13,500",10,PK,Website
ORD-103590,2025-07-07 14:14,C00145,SKU-1008,1TB portable SSD,Storage,5,"Rs 13,500",0,UK,website
ORD-105708,2026-01-20 16:14,C00813,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",10,Saudi Arabia,retail
ORD-102478,2025-03-26 08:14,C00512,SKU-1008,1TB portable SSD,Storage,2,"Rs 13,500",0,United Arab Emirates,website
ORD-104110,2026-04-01 19:14,C00570,SKU-1010,65W GaN charger,Power,2,"Rs 3,900",0,PK,retail
ORD-100651,14/11/2025,C00765,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Arab Emirates,website
ORD-100242,2026-03-06 08:14,C00448,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,United Arab Emirates,website
ORD-104822,2025-09-13 20:14,C00394,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,UK,Website
ORD-100508,2026-03-24 15:14,C00163,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",5,UAE,Website
ORD-104342,2026-08-03 20:14,C00013,SKU-1002,Wireless mouse,Peripherals,2,"Rs 2,600",0,United Arab Emirates,Website
ORD-101295,2026-05-25 20:14,C00019,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,10,PK,Website
ORD-104308,2026-07-29 17:14,C00486,SKU-1008,1TB portable SSD,Storage,2,"Rs 13,500",0,UK,retail
ORD-100920,2026-06-20 18:14,C00019,SKU-1007,Noise cancelling headset,Audio,5,"Rs 6,900",0,United Arab Emirates,website
ORD-104577,2026-02-21 17:14,C00257,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,UAE,website
ORD-102383,2025-07-31 14:14,C00514,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",20,UK,Website
ORD-100103,2025-04-08 16:14,,SKU-1008,1TB portable SSD,Storage,3,"Rs 13,500",0,PK,retail
ORD-102168,2025-08-10 17:14,C00576,SKU-1001,Mechanical keyboard,Peripherals,2,"Rs 9,800",5,Saudi Arabia,marketplace
ORD-100526,2026-03-16 16:14,C00391,SKU-1006,Laptop stand,Accessories,1,"Rs 4,200",10,UAE,retail
ORD-102404,2025-12-29 09:14,C00207,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",0,UAE,retail
ORD-102260,2025-10-11 14:14,C00780,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,Pakistan,marketplace
ORD-103689,2026-04-17 10:14,C00167,SKU-1005,24 inch monitor,Displays,1,"Rs 32,900",0,UAE,retail
ORD-100962,2025-10-25 12:14,,SKU-1007,Noise cancelling headset,Audio,2,"Rs 6,900",0,UK,Website
ORD-104648,2025-12-24 15:14,C00393,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",5,United Arab Emirates,website
ORD-102294,01/10/2025,C00011,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,20,Pakistan,Website
ORD-104623,2025-06-18 11:14,C00013,SKU-1004,HDMI cable 1.5m,Cables,2,"Rs 1,300",0,pakistan,Website
ORD-104119,2025-04-30 11:14,C00309,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",5,PK,marketplace
ORD-102288,2026-01-18 19:14,C00807,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,Saudi Arabia,marketplace
ORD-103415,2026-07-08 07:14,C00009,SKU-1002,Wireless mouse,Peripherals,2,"Rs 2,600",20,United Kingdom,marketplace
ORD-105102,2026-02-13 18:14,C00871,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",5,UK,retail
ORD-102240,2026-01-21 18:14,C00297,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",20,PK,Website
